slug,creator_name,candidate_name,wsdc_id,candidate_count,error
anastasia-lion,Anastasia Lion,,,0,no candidates
brian-barakauskas,Brian Barakauskas,,,0,no candidates
jessica,Jessica,Jessica Lee Armstrong (14075),14075,10,
jessica,Jessica,Jessica Barnard (6003),6003,10,
jessica,Jessica,Jessica Battson (3957),3957,10,
jessica,Jessica,Jessica Beltran (20501),20501,10,
jessica,Jessica,Jessica Benedicto (23352),23352,10,
jessica,Jessica,Jessica Bezza (16572),16572,10,
jessica,Jessica,Jessica Bisset (20933),20933,10,
jessica,Jessica,Jessica Breault (12276),12276,10,
jessica,Jessica,Jessica Brown (27210),27210,10,
jessica,Jessica,Jessica Bryant (6934),6934,10,
matjaz-brinovec,Matjaž Brinovec,,,0,no candidates
megan-anderson,Megan Anderson,,,0,no candidates
michael,Michael,Michael Acller (10394),10394,10,
michael,Michael,Michael Adler (10111),10111,10,
michael,Michael,Michael Anderson (6545),6545,10,
michael,Michael,Michael Anderson (12011),12011,10,
michael,Michael,Michael Arulfo (3548),3548,10,
michael,Michael,Michael Asgill (8644),8644,10,
michael,Michael,Michaël Assayag (24492),24492,10,
michael,Michael,Michael Bacarella (6056),6056,10,
michael,Michael,Michael Baker (24287),24287,10,
michael,Michael,Michael Barreto (22524),22524,10,
miguel,Miguel,Miguel Abdala (16267),16267,10,
miguel,Miguel,Miguel De Sousa (3984),3984,10,
miguel,Miguel,Miguel Angel Fernandez Sánchez (25142),25142,10,
miguel,Miguel,Miguel Gonzales (18740),18740,10,
miguel,Miguel,Miguel Grajeda (8583),8583,10,
miguel,Miguel,Miguel Hernandez-Rivera (19248),19248,10,
miguel,Miguel,Miguel Martinez (6753),6753,10,
miguel,Miguel,Miguel Mendoza (15343),15343,10,
miguel,Miguel,Miguel Ortega (7589),7589,10,
miguel,Miguel,Miguel Piñeiro (25653),25653,10,
za,Za,Zander Adkins (26290),26290,10,
za,Za,Zachary Arredondo (21329),21329,10,
za,Za,Zachary Ayers (19613),19613,10,
za,Za,Zarina Babaeva (20143),20143,10,
za,Za,Zachary Barbieri (26883),26883,10,
za,Za,Zara Casimaty (27745),27745,10,
za,Za,Zara Casimaty (28682),28682,10,
za,Za,Zach Coffey (16146),16146,10,
za,Za,Zack de Ramos (9953),9953,10,
za,Za,Zan Dubin (961),961,10,
